wgs_id,cip
SRR16999573,FALSE
SRR16999474,FALSE
SRR16999309,FALSE
SRR16644426,FALSE
SRR16644003,FALSE
SRR16999644,FALSE
SRR16999706,FALSE
SRR16644041,FALSE
SRR16999533,FALSE
SRR16999566,FALSE
SRR16999450,FALSE
SRR16644284,FALSE
SRR11699024,FALSE
SRR16999625,FALSE
SRR16643909,FALSE
SRR16644630,FALSE
SRR16999531,FALSE
SRR16999759,FALSE
SRR12611648,FALSE
SRR16644529,FALSE
SRR16999571,FALSE
SRR16644351,FALSE
SRR16644304,FALSE
SRR16999619,FALSE
SRR11724913,FALSE
SRR16644018,FALSE
SRR16644409,FALSE
SRR16644484,FALSE
SRR16644059,FALSE
SRR16644626,FALSE
SRR16644101,FALSE
SRR16999620,FALSE
SRR16644686,FALSE
SRR16644352,FALSE
SRR16999372,FALSE
SRR16999415,FALSE
SRR16999613,FALSE
SRR11724280,FALSE
SRR11725022,FALSE
SRR12611788,FALSE
SRR16644179,FALSE
SRR16644583,FALSE
SRR16644301,FALSE
SRR11724334,FALSE
SRR12612722,FALSE
SRR16644498,FALSE
SRR16999443,FALSE
SRR16644675,FALSE
SRR11724593,FALSE
SRR16644242,FALSE
SRR16999436,FALSE
SRR16644457,FALSE
SRR11725164,FALSE
SRR12611658,TRUE
SRR16644160,TRUE
SRR16644225,FALSE
SRR16999733,TRUE
SRR16644218,TRUE
SRR16644593,TRUE
SRR16644435,TRUE
SRR11698466,TRUE
SRR12612356,TRUE
SRR16999666,TRUE
SRR16644073,TRUE
SRR17188736,FALSE
SRR16643911,TRUE
SRR16643981,TRUE
SRR16999493,TRUE
SRR16644417,TRUE
SRR16644543,TRUE
SRR16644604,TRUE
SRR16644667,FALSE
SRR16644080,FALSE
SRR16644328,TRUE
SRR16644154,TRUE
SRR16644174,TRUE
SRR16644239,TRUE
SRR11724273,FALSE
SRR16643969,TRUE
SRR16644108,TRUE
SRR11724448,TRUE
SRR16644290,FALSE
SRR11725080,FALSE
SRR16999610,TRUE
SRR16644539,TRUE
SRR16999607,FALSE
SRR16999608,FALSE
SRR12612562,TRUE
SRR16999409,TRUE
SRR16999421,TRUE
SRR16643905,TRUE
SRR16643968,TRUE
SRR12612408,TRUE
SRR12612458,FALSE
SRR16999367,TRUE
SRR11724996,FALSE
SRR12612881,FALSE
SRR16999747,FALSE
SRR16999542,TRUE
SRR16644153,TRUE
SRR16644459,TRUE
SRR16644656,TRUE
SRR16644670,TRUE
SRR16644465,TRUE
SRR16999675,TRUE
SRR11724313,TRUE
SRR12612457,TRUE
SRR11724659,FALSE
SRR16644048,FALSE
SRR16999545,FALSE
SRR16644376,FALSE
SRR16644358,FALSE
SRR16999539,FALSE
SRR16999360,FALSE
SRR16644510,FALSE
SRR12612339,TRUE
SRR16999456,FALSE
SRR16644558,FALSE
SRR17188730,TRUE
SRR11698358,FALSE
SRR12612658,FALSE
SRR16643915,FALSE
SRR16644546,FALSE
SRR16999479,FALSE
